DWG Number,ASIGateway_label,Tag,Description,Signal Type 1,ASiAddress,ASIGateway_label_order,moduleConfig,moduleId
PID-121,2,20-ZSO-2106H,Open Detection,DIASI,11B,179,"[4, 4]",11
PID-121,2,20-XY-2106P,4-Way Solenoid Valve,DOASI,11B,180,"[4, 4]",11
PID-121,2,20-XY-2106A,3-Way Solenoid Valve,DOASI,11B,181,"[4, 4]",11
PID-121,2,20-XY-2106F,3-Way Solenoid Valve,DOASI,11B,182,"[4, 4]",11
PID-121,2,20-ZSC/O-2106E,Closed and Open Detection,DIASI,11B,185,"[4, 4]",11
PID-121,2,20-ZSO-2107H,Open Detection,DIASI,12B,174,"[2, 1]",12
PID-121,2,20-ZIS-2107K,Pig Sensor,DIASI,12B,191,"[2, 1]",12
PID-121,2,20-ZSC-2107G,Closed Detection,DIASI,13B,183,"[2, 1]",13
PID-121,2,20-ZSC/O-2107F,Closed and Open Detection,DIASI,13B,187,"[2, 1]",13
PID-121,2,20-XY-2107P,4-Way Solenoid Valve,DOASI,13B,192,"[2, 1]",13
PID-121,2,20-ZSC/O-2107E,Closed and Open Detection,DIASI,14B,175,"[2, 2]",14
PID-121,2,20-XY-2107A,3-Way Solenoid Valve,DOASI,14B,176,"[2, 2]",14
PID-121,2,20-ZSC-2107A,Closed Detection,DIASI,14B,189,"[2, 2]",14
PID-121,2,20-XY-2107E,3-Way Solenoid Valve,DOASI,14B,194,"[2, 2]",14
PID-121,2,20-ZIS-2108K,Pig Sensor,DIASI,15B,170,"[2, 1]",15
PID-121,2,20-ZIS-2108J,Pig Sensor,DIASI,15B,190,"[2, 1]",15
PID-121,2,20-XY-2108P,4-Way Solenoid Valve,DOASI,16B,171,"[2, 1]",16
PID-121,2,20-ZSO-2108H,Open Detection,DIASI,16B,177,"[2, 1]",16
PID-121,2,20-ZSC-2108G,Closed Detection,DIASI,16B,184,"[2, 1]",16
