DWG Number,ASIGateway_label,Tag,Description,Signal Type 1,ASiAddress,ASIGateway_label_order,moduleConfig,moduleId
PID-131,3,20-XY-3107F,3-Way Solenoid Valve,DOASI,20B,275,"[4, 4]",20
PID-131,3,20-ZSC-3107G,Closed Detection,DIASI,20B,277,"[4, 4]",20
PID-131,3,20-XY-3107A,3-Way Solenoid Valve,DOASI,20B,282,"[4, 4]",20
PID-131,3,20-XY-3107E,3-Way Solenoid Valve,DOASI,20B,289,"[4, 4]",20
PID-131,3,20-ZIS-3108J,Pig Sensor,DIASI,21B,273,"[4, 0]",21
PID-131,3,20-ZIS-3108K,Pig Sensor,DIASI,21B,274,"[4, 0]",21
PID-131,3,20-ZSO-3108H,Open Detection,DIASI,21B,288,"[4, 0]",21
PID-131,3,20-ZSC/O-3108F,Closed and Open Detection,DIASI,22B,272,"[4, 4]",22
PID-131,3,20-XY-3108F,3-Way Solenoid Valve,DOASI,22B,276,"[4, 4]",22
PID-131,3,20-ZSC-3108G,Closed Detection,DIASI,22B,279,"[4, 4]",22
PID-131,3,20-ZSC-3108A,Closed Detection,DIASI,22B,280,"[4, 4]",22
PID-131,3,20-XY-3108P,4-Way Solenoid Valve,DOASI,22B,281,"[4, 4]",22
PID-131,3,20-XY-3108A,3-Way Solenoid Valve,DOASI,22B,283,"[4, 4]",22
PID-131,3,20-ZSC/O-3108E,Closed and Open Detection,DIASI,22B,287,"[4, 4]",22
PID-131,3,20-XY-3108E,3-Way Solenoid Valve,DOASI,22B,291,"[4, 4]",22
PID-133,4,20-ZIS-3101J,Pig Sensor,DIASI,1A,325,"[2, 1]",0
PID-133,4,20-ZIS-3101K,Pig Sensor,DIASI,1A,330,"[2, 1]",0
PID-133,4,20-ZSC/O-3101F,Closed and Open Detection,DIASI,1B,332,"[2, 2]",1
PID-133,4,20-XY-3101E,3-Way Solenoid Valve,DOASI,1B,336,"[2, 2]",1
PID-133,4,20-ZSC/O-3101E,Closed and Open Detection,DIASI,1B,350,"[2, 2]",1
PID-133,4,20-XY-3101F,3-Way Solenoid Valve,DOASI,1B,351,"[2, 2]",1
PID-133,4,20-XY-3101D,3-Way Solenoid Valve,DOASI,2B,327,"[4, 4]",2
PID-133,4,20-XY-3101C,3-Way Solenoid Valve,DOASI,2B,328,"[4, 4]",2
PID-133,4,20-ZSC-3101A,Closed Detection,DIASI,2B,335,"[4, 4]",2
PID-133,4,20-ZSC-3101D,Closed Detection,DIASI,2B,337,"[4, 4]",2
PID-133,4,20-ZSC-3101B,Closed Detection,DIASI,2B,338,"[4, 4]",2
PID-133,4,20-XY-3101A,3-Way Solenoid Valve,DOASI,2B,339,"[4, 4]",2
PID-133,4,20-XY-3101B,3-Way Solenoid Valve,DOASI,2B,346,"[4, 4]",2
PID-133,4,20-ZSC-3101C,Closed Detection,DIASI,2B,348,"[4, 4]",2
PID-133,4,20-ZIS-3102K,Pig Sensor,DIASI,3B,326,"[4, 0]",3
PID-133,4,20-ZIS-3102J,Pig Sensor,DIASI,3B,329,"[4, 0]",3
PID-133,4,20-ZSO-3102H,Open Detection,DIASI,3B,349,"[4, 0]",3
PID-133,4,20-ZSC-3102A,Closed Detection,DIASI,4B,331,"[4, 4]",4
PID-133,4,20-ZSC/O-3102E,Closed and Open Detection,DIASI,4B,333,"[4, 4]",4
PID-133,4,20-XY-3102E,3-Way Solenoid Valve,DOASI,4B,334,"[4, 4]",4
PID-133,4,20-ZSC-3102G,Closed Detection,DIASI,4B,341,"[4, 4]",4
PID-133,4,20-XY-3102F,3-Way Solenoid Valve,DOASI,4B,342,"[4, 4]",4
PID-133,4,20-XY-3102P,4-Way Solenoid Valve,DOASI,4B,343,"[4, 4]",4
PID-133,4,20-XY-3102A,3-Way Solenoid Valve,DOASI,4B,344,"[4, 4]",4
PID-133,4,20-ZSC/O-3102F,Closed and Open Detection,DIASI,4B,347,"[4, 4]",4
PID-132,4,20-ZIS-3103J,Pig Sensor,DIASI,5B,297,"[2, 1]",5
PID-132,4,20-ZIS-3103K,Pig Sensor,DIASI,5B,308,"[2, 1]",5
PID-132,4,20-ZSC/O-3103F,Closed and Open Detection,DIASI,6B,300,"[4, 4]",6
PID-132,4,20-XY-3103P,4-Way Solenoid Valve,DOASI,6B,303,"[4, 4]",6
PID-132,4,20-ZSO-3103H,Open Detection,DIASI,6B,307,"[4, 4]",6
PID-132,4,20-XY-3103E,3-Way Solenoid Valve,DOASI,6B,309,"[4, 4]",6
PID-132,4,20-XY-3103F,3-Way Solenoid Valve,DOASI,6B,310,"[4, 4]",6
PID-132,4,20-ZSC/O-3103E,Closed and Open Detection,DIASI,6B,313,"[4, 4]",6
PID-132,4,20-XY-3103A,3-Way Solenoid Valve,DOASI,6B,318,"[4, 4]",6
PID-132,4,20-ZSC-3103G,Closed Detection,DIASI,6B,322,"[4, 4]",6
PID-132,4,20-ZIS-3104K,Pig Sensor,DIASI,7B,317,"[2, 1]",7
PID-132,4,20-ZIS-3104J,Pig Sensor,DIASI,7B,319,"[2, 1]",7
PID-132,4,20-XY-3104P,4-Way Solenoid Valve,DOASI,8B,295,"[4, 4]",8
PID-132,4,20-ZSO-3104H,Open Detection,DIASI,8B,296,"[4, 4]",8
PID-132,4,20-ZSC-3104G,Closed Detection,DIASI,8B,301,"[4, 4]",8
PID-132,4,20-XY-3104F,3-Way Solenoid Valve,DOASI,8B,302,"[4, 4]",8
PID-132,4,20-ZSC/O-3104E,Closed and Open Detection,DIASI,8B,306,"[4, 4]",8
PID-132,4,20-XY-3104E,3-Way Solenoid Valve,DOASI,8B,312,"[4, 4]",8
PID-132,4,20-ZSC-3104A,Closed Detection,DIASI,8B,314,"[4, 4]",8
PID-132,4,20-XY-3104A,3-Way Solenoid Valve,DOASI,8B,323,"[4, 4]",8
PID-132,4,20-ZSO-3105H,Open Detection,DIASI,9B,298,"[4, 0]",9
PID-132,4,20-ZIS-3105J,Pig Sensor,DIASI,9B,320,"[4, 0]",9
PID-132,4,20-ZIS-3105K,Pig Sensor,DIASI,9B,321,"[4, 0]",9
PID-132,4,20-ZSC/O-3105F,Closed and Open Detection,DIASI,10B,299,"[2, 1]",10
PID-132,4,20-ZSC-3105G,Closed Detection,DIASI,10B,304,"[2, 1]",10
PID-132,4,20-XY-3105F,3-Way Solenoid Valve,DOASI,10B,305,"[2, 1]",10
PID-132,4,20-ZSC-3105A,Closed Detection,DIASI,11B,311,"[2, 2]",11
PID-132,4,20-XY-3105A,3-Way Solenoid Valve,DOASI,11B,315,"[2, 2]",11
PID-132,4,20-XY-3105E,3-Way Solenoid Valve,DOASI,11B,316,"[2, 2]",11
PID-132,4,20-ZSC/O-3105E,Closed and Open Detection,DIASI,11B,324,"[2, 2]",11
PID-133,4,20-ZSC-7749.,Closed Detection,DIASI,12B,340,"[2, 1]",12
PID-133,4,20-XY-7749.,3-Way Solenoid Valve,DOASI,12B,345,"[2, 1]",12
